Leonardo Spinazzola	,Serie A,Italy,Italy,15000000,15000000,2019-06-06 00:00:00,AS Roma
Lorenzo Andrenacci	,Serie A,Italy,Italy,100000,100000,2017-06-21 00:00:00,Brescia
Lorenzo De Silvestri	,Serie A,Italy,Italy,4000000,6000000,2010-07-19 00:00:00,Torino
Lorenzo Insigne	,Serie A,Italy,Italy,65000000,75000000,2018-12-20 00:00:00,SSC Napoli
Lorenzo Pellegrini	,Serie A,Italy,Italy,40000000,40000000,2019-10-08 00:00:00,AS Roma
Lorenzo Tonelli	,Serie A,Italy,Italy,7000000,8500000,2016-07-15 00:00:00,SSC Napoli
Lorenzo Venuti	,Serie A,Italy,Italy,2000000,2000000,2019-06-05 00:00:00,Fiorentina
Luca Ceppitelli	,Serie A,Italy,Italy,2500000,2500000,2019-06-06 00:00:00,Cagliari Calcio
Luca Cigarini	,Serie A,Italy,Italy,800000,8000000,2009-08-06 00:00:00,Cagliari Calcio
Luca Mazzitelli	,Serie A,Italy,Italy,3500000,4000000,2018-10-12 00:00:00,Sassuolo
Luca Pellegrini	,Serie A,Italy,Italy,10000000,10000000,2019-10-08 00:00:00,Cagliari Calcio
Luca Ranieri	,Serie A,Italy,Italy,2000000,2000000,2019-06-05 00:00:00,Fiorentina
Luca Rossettini	,Serie A,Italy,Italy,500000,2500000,2017-01-02 00:00:00,Lecce
Luca Siligardi	,Serie A,Italy,Italy,800000,3000000,2013-06-25 00:00:00,Parma
Luca Tremolada	,Serie A,Italy,Italy,900000,1000000,2018-06-18 00:00:00,Brescia
Luigi Sepe	,Serie A,Italy,Italy,5000000,5000000,2019-06-06 00:00:00,Parma
Luigi Vitale	,Serie A,Italy,Italy,600000,2000000,2009-02-03 00:00:00,Hellas Verona
Manolo Gabbiadini	,Serie A,Italy,Italy,12000000,18000000,2015-07-01 00:00:00,Sampdoria
Manuel Lazzari	,Serie A,Italy,Italy,18000000,18000000,2019-06-06 00:00:00,Lazio
Manuel Locatelli	,Serie A,Italy,Italy,12000000,12000000,2019-02-26 00:00:00,Sassuolo
Marco Benassi	,Serie A,Italy,Italy,18000000,20000000,2018-12-20 00:00:00,Fiorentina
Marco Bleve	,Serie A,Italy,Italy,150000,300000,2015-06-25 00:00:00,Lecce
Marco Calderoni	,Serie A,Italy,Italy,700000,800000,2009-09-24 00:00:00,Lecce
Marco D'Alessandro	,Serie A,Italy,Italy,2000000,2500000,2014-07-15 00:00:00,SPAL
Marco Mancosu	,Serie A,Italy,Italy,2500000,2500000,2019-10-08 00:00:00,Lecce
Marco Parolo	,Serie A,Italy,Italy,3000000,8500000,2015-07-01 00:00:00,Lazio
Marco Silvestri	,Serie A,Italy,Italy,800000,800000,2019-06-05 00:00:00,Hellas Verona
Marco Sportiello	,Serie A,Italy,Italy,4000000,10000000,2016-07-15 00:00:00,Atalanta
Marco Verratti	,Ligue 1,Italy,Italy,75000000,75000000,2019-03-07 00:00:00,Paris SG
Mario Balotelli	,Serie A,Italy,Italy,20000000,32000000,2012-06-24 00:00:00,Brescia
Massimiliano Mangraviti	,Serie A,Italy,Italy,125000,125000,2019-06-19 00:00:00,Brescia
Matteo Darmian	,Serie A,Italy,Italy,10000000,15000000,2015-10-14 00:00:00,Parma
Matteo Gabbia	,Serie A,Italy,Italy,500000,500000,2017-12-29 00:00:00,AC Milan
Matteo Pessina	,Serie A,Italy,Italy,1500000,2000000,2018-06-18 00:00:00,Hellas Verona
Matteo Politano	,Serie A,Italy,Italy,30000000,30000000,2018-12-20 00:00:00,Inter
Matteo Scozzarella	,Serie A,Italy,Italy,800000,800000,2019-06-06 00:00:00,Parma
Mattia Bani	,Serie A,Italy,Italy,2500000,2500000,2018-06-07 00:00:00,Bologna
Mattia Caldara	,Serie A,Italy,Italy,20000000,25000000,2018-03-24 00:00:00,AC Milan
Mattia De Sciglio	,Serie A,Italy,Italy,14000000,14000000,2018-06-07 00:00:00,Juventus
Mattia Destro	,Serie A,Italy,Italy,3500000,17000000,2014-07-01 00:00:00,Bologna
Mattia Perin	,Serie A,Italy,Italy,10000000,18000000,2017-01-02 00:00:00,Juventus
Mattia Sprocati	,Serie A,Italy,Italy,1500000,1500000,2019-06-06 00:00:00,Parma
Mattia Valoti	,Serie A,Italy,Italy,1000000,1000000,2016-12-19 00:00:00,SPAL
Mattia Viviani	,Serie A,Italy,Italy,400000,400000,2019-06-05 00:00:00,Brescia
Mattia Zaccagni	,Serie A,Italy,Italy,2500000,2500000,2019-10-08 00:00:00,Hellas Verona
Mauro Vigorito	,Serie A,Italy,Italy,600000,600000,2019-06-05 00:00:00,Lecce
Mirko Antonucci	,Serie A,Italy,Italy,500000,500000,2018-06-30 00:00:00,AS Roma
Mirko Valdifiori	,Serie A,Italy,Italy,500000,6000000,2015-03-20 00:00:00,SPAL
Moise Kean	,Premier League,Italy,Italy,40000000,40000000,2019-06-06 00:00:00,Everton
Nicola Murru	,Serie A,Italy,Italy,7000000,7000000,2019-06-06 00:00:00,Sampdoria
Nicola Sansone	,Serie A,Italy,Italy,7500000,16000000,2017-01-24 00:00:00,Bologna
Nicolo Barella	,Serie A,Italy,Italy,36000000,36000000,2019-06-06 00:00:00,Inter
Nicolo Zaniolo	,Serie A,Italy,Italy,40000000,40000000,2019-02-26 00:00:00,AS Roma
Paolo Farago	,Serie A,Italy,Italy,5000000,6000000,2018-06-07 00:00:00,Cagliari Calcio
Paolo Ghiglione	,Serie A,Italy,Italy,2500000,2500000,2019-10-08 00:00:00,Genoa
Patrick Cutrone	,Premier League,Italy,Italy,25000000,30000000,2018-12-20 00:00:00,Wolves
Pierluigi Gollini	,Serie A,Italy,Italy,8000000,8000000,2019-10-08 00:00:00,Atalanta
Pietro Pellegri	,Ligue 1,Italy,Italy,7000000,8000000,2017-12-29 00:00:00,Monaco
Pietro Terracciano	,Serie A,Italy,Italy,800000,1000000,2018-10-12 00:00:00,Fiorentina
Riccardo Fiamozzi	,Serie A,Italy,Italy,700000,1000000,2016-07-15 00:00:00,Lecce
Riccardo Mastrilli	,Serie A,Italy,Italy,100000,100000,2019-06-21 00:00:00,SPAL
Riccardo Orsolini	,Serie A,Italy,Italy,20000000,20000000,2019-10-08 00:00:00,Bologna
Riccardo Saponara	,Serie A,Italy,Italy,4000000,15000000,2016-01-04 00:00:00,Genoa
Riccardo Sottil	,Serie A,Italy,Italy,2500000,2500000,2019-10-08 00:00:00,Fiorentina
Roberto Gagliardini	,Serie A,Italy,Italy,15000000,20000000,2017-12-29 00:00:00,Inter
Roberto Inglese	,Serie A,Italy,Italy,15000000,15000000,2019-03-01 00:00:00,Parma
Roberto Soriano	,Serie A,Italy,Italy,7000000,16000000,2017-06-05 00:00:00,Bologna
Rolando Mandragora	,Serie A,Italy,Italy,15000000,15000000,2018-10-12 00:00:00,Udinese Calcio
Salvatore Bocchetti	,Serie A,Italy,Italy,1500000,14000000,2013-06-19 00:00:00,Hellas Verona
Salvatore Sirigu	,Serie A,Italy,Italy,7500000,21500000,2014-08-01 00:00:00,Torino
Samuel Di Carmine	,Serie A,Italy,Italy,1700000,1700000,2018-06-18 00:00:00,Hellas Verona
Samuele Perisan	,Serie A,Italy,Italy,150000,150000,2019-01-17 00:00:00,Udinese Calcio
Sandro Tonali	,Serie A,Italy,Italy,30000000,30000000,2019-10-08 00:00:00,Brescia
Sebastiano Luperto	,Serie A,Italy,Italy,4000000,4000000,2019-06-06 00:00:00,SSC Napoli
Sergio Floccari	,Serie A,Italy,Italy,300000,11000000,2009-08-06 00:00:00,SPAL
Simon Straudi	,Bundesliga,Italy,Italy,200000,200000,2019-10-02 00:00:00,Werder Bremen
Simone Aresti	,Serie A,Italy,Italy,200000,350000,2015-02-10 00:00:00,Cagliari Calcio
Simone Colombi	,Serie A,Italy,Italy,800000,1500000,2014-07-01 00:00:00,Parma
Simone Edera	,Serie A,Italy,Italy,1000000,1500000,2018-06-07 00:00:00,Torino
Simone Iacoponi	,Serie A,Italy,Italy,1000000,1000000,2019-06-06 00:00:00,Parma
Simone Lo Faso	,Serie A,Italy,Italy,500000,1000000,2017-12-29 00:00:00,Lecce
Simone Missiroli	,Serie A,Italy,Italy,2000000,6000000,2016-07-15 00:00:00,SPAL
Simone Pinna	,Serie A,Italy,Italy,175000,175000,2018-06-19 00:00:00,Cagliari Calcio
Simone Verdi	,Serie A,Italy,Italy,23000000,25000000,2018-06-07 00:00:00,Torino
Simone Zaza	,Serie A,Italy,Italy,10000000,25000000,2018-01-01 00:00:00,Torino
Stefano Okaka	,Serie A,Italy,Italy,5000000,7000000,2015-01-07 00:00:00,Udinese Calcio
Stefano Sabelli	,Serie A,Italy,Italy,1700000,1800000,2016-12-19 00:00:00,Brescia
Stefano Sensi	,Serie A,Italy,Italy,30000000,30000000,2019-10-08 00:00:00,Inter
Stefano Sturaro	,Serie A,Italy,Italy,10000000,12000000,2016-07-15 00:00:00,Genoa
Tommaso Augello	,Serie A,Italy,Italy,1000000,1000000,2019-06-05 00:00:00,Sampdoria
Tommaso Berni	,Serie A,Italy,Italy,100000,1500000,2005-03-31 00:00:00,Inter
Valerio Verre	,Serie A,Italy,Italy,3500000,4000000,2016-10-14 00:00:00,Hellas Verona
Vasco Regini	,Serie A,Italy,Italy,1400000,3500000,2014-07-01 00:00:00,Sampdoria
Vincenzo Grifo	,Bundesliga,Italy,Italy,9000000,10000000,2017-06-19 00:00:00,SC Freiburg
Vittorio Parigini	,Serie A,Italy,Italy,2000000,2000000,2018-12-20 00:00:00,Torino
Wladimiro Falcone	,Serie A,Italy,Italy,175000,200000,2014-07-01 00:00:00,Sampdoria
